Transaction ID,Date,Store ID,Product ID,Category,Sub-Category,Quantity Sold,Price,Discount,Total Sales,Customer ID,Payment Method,Store Location,Customer Age,Customer Gender,Customer Segment,Loyalty Program,Feedback Rating,Employee ID,Store Type
T0000001,2023-10-13,S074,P00991,Groceries,Dairy,7,56.49,0.2,316.34,d49b8699-04cd-424c-8ffa-dd6210950328,Online Payment,"Martinstad, Guinea",41,Female,VIP,No,2,E0258,Online
T0000002,2022-12-13,S044,P00266,Groceries,Snacks,1,521.88,0.03,506.22,e46ee47a-c8d8-488d-89a2-3c7f58090a46,Online Payment,"New Micheleview, Paraguay",68,Female,Regular,No,3,E0081,Online
T0000003,2022-09-15,S030,P00711,Groceries,Fruits,6,961.08,0.02,5651.15,01255bf5-ae89-45bc-99dc-6aade26b41f9,Cash,"Martinstad, Guinea",47,Male,VIP,Yes,2,E0446,Online
T0000004,2023-02-28,S042,P00733,Furniture,Tables,8,417.71,0.26,2472.84,a62979a4-9370-4b08-abac-8ed0284115ab,Cash,"Lake Diana, Nepal",37,Female,VIP,Yes,5,E0152,Outlet
T0000005,2023-12-12,S010,P00815,Electronics,Laptops,8,70.94,0.28,408.61,296c62a6-e926-4870-9bce-219275fa542f,Online Payment,"Port Melanie, Moldova",21,Male,Regular,No,4,E0055,Outlet
T0000006,2023-01-21,S050,P00635,Groceries,Snacks,6,997.93,0.14,5149.32,5c996a30-abaf-430d-8eea-54e226c891f9,Credit Card,"New Carolfurt, Colombia",28,Male,Regular,Yes,2,E0443,Supermarket
T0000007,2024-06-05,S044,P00700,Toys,Board Games,6,938.12,0.15,4784.41,f0ff5f7d-3d89-4bec-94a0-a8528d93fbf7,Cash,"New Barbaraville, Guyana",51,Female,Regular,No,5,E0293,Outlet
T0000008,2022-09-02,S062,P00684,Groceries,Dairy,8,325.22,0.01,2575.74,b3a7ac0a-16c6-4c70-9a1d-eff63fb51778,Cash,"Michelleberg, Mongolia",64,Male,VIP,Yes,5,E0133,Supermarket
T0000009,2022-09-19,S028,P00057,Toys,Action Figures,2,793.11,0.23,1221.39,37e2a27f-f78e-4057-aacd-f9c7b61294ea,Cash,"Kevinview, Benin",20,Male,Regular,Yes,2,E0432,Online
T0000010,2024-02-26,S033,P00372,Furniture,Chairs,5,374.54,0.11,1666.7,03f3bacd-e191-451d-a940-f681003de456,Cash,"East Natalie, Guadeloupe",62,Female,Regular,No,2,E0219,Outlet
T0000011,2023-08-30,S078,P00687,Clothing,Jeans,10,932.07,0.11,8295.42,86ca994e-0870-4d6c-a83f-8f20fdeb58bd,Cash,"Ruthhaven, Congo",27,Male,Regular,Yes,3,E0098,Outlet
T0000012,2022-09-09,S037,P00460,Furniture,Beds,3,496.06,0.24,1131.02,4a9a7541-0fa4-4dfb-acd3-6b7a914b4200,Credit Card,"Annchester, Chad",24,Male,VIP,Yes,4,E0473,Supermarket
T0000013,2023-06-17,S039,P00420,Electronics,Laptops,9,758.21,0.15,5800.31,ad37e2b0-6c39-4e48-9f31-0b335be2fdaf,Credit Card,"Francisfort, South Georgia and the South Sandwich Islands",28,Female,Regular,No,3,E0052,Online
T0000014,2023-10-29,S057,P00445,Groceries,Dairy,8,444.37,0.13,3092.82,21d4f0fa-3f2d-4d25-8c2d-268480e291d4,Online Payment,"Michaelmouth, Russian Federation",32,Male,Regular,No,1,E0002,Outlet
T0000015,2023-12-03,S063,P00426,Groceries,Dairy,5,660.23,0.2,2640.92,28a80d60-62cd-495c-9759-05e7020b4b54,Online Payment,"Taylorhaven, United States Minor Outlying Islands",59,Female,VIP,No,2,E0037,Online
T0000016,2024-04-10,S060,P00560,Clothing,Jackets,7,979.49,0.09,6239.35,5f6719c4-0b52-459b-8108-c5f15aad00f3,Credit Card,"Lake Nina, Cyprus",32,Female,VIP,Yes,3,E0041,Outlet
T0000017,2024-08-14,S051,P00656,Furniture,Chairs,8,610.14,0.04,4685.88,e1d0c0c9-5f06-4274-ac8c-d770b20af6ad,Cash,"Kellyfort, Bhutan",66,Female,VIP,No,1,E0390,Outlet
T0000018,2024-01-24,S077,P00183,Clothing,Jeans,7,839.15,0.25,4405.54,d02110e7-dd55-4e6e-bfc0-cf0ef0c770f8,Credit Card,"Taylorhaven, United States Minor Outlying Islands",63,Female,VIP,No,4,E0478,Outlet
T0000019,2023-08-26,S063,P00709,Toys,Action Figures,1,491.0,0.15,417.35,0a5f51c5-ccfb-4915-b1c9-f92927fa245c,Credit Card,"New Micheleview, Paraguay",23,Female,Regular,No,5,E0409,Outlet
T0000020,2022-10-01,S074,P00224,Furniture,Sofas,1,581.41,0.14,500.01,a509545b-653e-4384-a94b-fd2adc4b00f8,Online Payment,"New Brianchester, Sri Lanka",35,Female,Regular,Yes,4,E0294,Outlet
T0000021,2024-03-25,S004,P00720,Clothing,Jackets,2,251.58,0.03,488.07,1673a902-fdeb-4e4f-91a9-45715802c777,Credit Card,"North Stevenland, Albania",54,Female,VIP,Yes,3,E0414,Outlet
T0000022,2024-06-05,S019,P00100,Groceries,Vegetables,3,742.15,0.17,1847.95,8896f1bc-245f-4a67-882d-353cf5791f2e,Online Payment,"Gonzalesburgh, Yemen",66,Female,Regular,Yes,1,E0185,Outlet
T0000023,2024-05-23,S053,P00607,Toys,Puzzles,3,600.16,0.25,1350.36,ecb5390d-aecf-40f3-9116-65dba1e7864f,Cash,"Johnsonville, Afghanistan",20,Male,Regular,Yes,1,E0283,Supermarket
T0000024,2024-03-26,S048,P00632,Furniture,Sofas,3,836.08,0.13,2182.17,20fc7248-a7c4-41a8-a71f-f850986fad7d,Cash,"Jonesborough, Isle of Man",27,Female,VIP,Yes,4,E0322,Supermarket
T0000025,2023-02-22,S095,P00756,Groceries,Vegetables,5,185.75,0.26,687.27,54befc8c-abed-4f63-89e7-fec794d9e878,Online Payment,"Port Danielburgh, Bahrain",25,Female,VIP,No,5,E0404,Online
T0000026,2024-03-29,S083,P00051,Clothing,Jackets,10,542.77,0.24,4125.05,e141bd4b-7963-4d28-ab9a-1ee86c4fa566,Cash,"East Amanda, Ecuador",61,Male,VIP,No,3,E0488,Online
T0000027,2022-11-03,S044,P00071,Clothing,Jeans,6,974.89,0.14,5030.43,d27d21a1-2e41-4ae3-814c-c2955b4aa225,Online Payment,"Mcdanielshire, Palau",29,Female,VIP,No,2,E0127,Online
T0000028,2023-09-29,S011,P00624,Groceries,Dairy,9,277.7,0.12,2199.38,5a134a33-0031-44e2-8c78-133629c3d8e7,Cash,"Jonesbury, Antigua and Barbuda",45,Male,VIP,No,1,E0393,Online
T0000029,2022-12-21,S030,P00541,Electronics,Tablets,9,956.22,0.23,6626.6,2023bfbf-a689-414c-bdba-58f286fee001,Online Payment,"Lake Janet, Tokelau",68,Female,VIP,No,4,E0158,Supermarket
T0000030,2024-01-04,S085,P00703,Groceries,Snacks,9,703.84,0.24,4814.27,988e3c40-a349-4b4c-9235-f880ab9f1363,Cash,"Port Eddieton, Norfolk Island",66,Female,VIP,No,4,E0459,Online
T0000031,2024-03-22,S034,P00239,Groceries,Vegetables,7,85.43,0.19,484.39,1f3ba392-8f0a-41c0-9e29-fc9bc5938f94,Cash,"North Daniel, Lithuania",54,Female,Regular,No,3,E0150,Supermarket
T0000032,2022-09-25,S075,P00276,Furniture,Sofas,1,226.18,0.21,178.68,68df3f59-7968-45f7-84db-22df2f57e7e0,Online Payment,"Hooverburgh, Anguilla",51,Male,VIP,No,5,E0286,Supermarket
T0000033,2023-01-13,S035,P00474,Clothing,Shoes,4,619.23,0.27,1808.15,8381bf6d-6bd2-4a55-ac32-f71d6d797288,Credit Card,"North Heather, Lithuania",25,Male,Regular,Yes,3,E0267,Supermarket
T0000034,2024-05-07,S002,P00796,Groceries,Vegetables,1,894.57,0.02,876.68,e5fa46d0-83c4-4c54-bbab-6a2112664e75,Cash,"Port Joemouth, Guernsey",22,Female,Regular,Yes,3,E0167,Outlet
T0000035,2022-11-30,S088,P00148,Electronics,Smartphones,7,539.12,0.23,2905.86,11549b4f-e7db-4aa1-a741-fcbdd3ef38dd,Cash,"Port Howard, Sudan",29,Male,VIP,No,5,E0143,Outlet
T0000036,2023-08-05,S036,P00180,Furniture,Chairs,2,574.99,0.28,827.99,b6ed0bf9-ec83-4c69-b12c-ac3c5da97fe3,Credit Card,"Gonzalesburgh, Yemen",20,Male,VIP,Yes,3,E0306,Outlet
T0000037,2022-09-15,S040,P00555,Groceries,Dairy,4,288.3,0.29,818.77,ad9533f9-995c-4d0d-bc9d-8d718dde887b,Online Payment,"South Cherylside, Sudan",40,Male,VIP,Yes,1,E0051,Supermarket
T0000038,2023-02-02,S073,P00043,Toys,Board Games,9,449.55,0.19,3277.22,b8e136cc-8f44-45b5-8288-d21f45bac150,Online Payment,"New Victor, Vanuatu",34,Female,VIP,Yes,4,E0140,Supermarket
T0000039,2024-07-02,S061,P00034,Clothing,T-Shirts,7,224.5,0.1,1414.35,966e022d-a252-4f4b-8dcb-8b37af989ad4,Credit Card,"Port Timothy, Gabon",30,Female,Regular,Yes,4,E0366,Outlet
T0000040,2024-04-24,S029,P00197,Clothing,T-Shirts,3,994.0,0.23,2296.14,b38dde8c-0a15-44b8-b250-96b7230daf72,Credit Card,"Lake Davidshire, Liechtenstein",47,Female,VIP,No,1,E0050,Supermarket
T0000041,2023-05-06,S020,P00232,Clothing,T-Shirts,1,890.69,0.02,872.88,0688b4ed-b543-4524-8145-e850f5297905,Credit Card,"Christopherberg, Holy See (Vatican City State)",65,Female,Regular,No,5,E0117,Online
T0000042,2024-02-28,S030,P00941,Electronics,Laptops,10,367.18,0.29,2606.98,846623b9-43fa-4751-ae84-c521cd5cc29f,Online Payment,"Jonesbury, Antigua and Barbuda",41,Female,VIP,Yes,5,E0186,Online
T0000043,2024-06-07,S026,P00827,Furniture,Beds,1,782.23,0.22,610.14,07cd58b9-8174-44ef-90a5-0f7ca9664ad4,Online Payment,"Port Danielburgh, Bahrain",46,Female,VIP,Yes,1,E0168,Supermarket
T0000044,2024-01-29,S025,P00152,Groceries,Vegetables,10,167.63,0.14,1441.62,7af0f75d-110b-483e-8655-ff1063448095,Cash,"Cindychester, Belarus",48,Female,Regular,Yes,5,E0435,Outlet
T0000045,2023-02-25,S051,P00928,Electronics,Laptops,6,234.33,0.22,1096.66,32e02d0e-2005-439e-95a0-db7c4dfa8f42,Credit Card,"Lake William, Senegal",67,Male,Regular,Yes,1,E0087,Outlet
T0000046,2023-04-03,S027,P00049,Toys,Action Figures,6,725.17,0.08,4002.94,e32eb400-2083-4a18-adc7-b31c4844117f,Credit Card,"Parkbury, Ethiopia",42,Male,Regular,No,1,E0195,Online
T0000047,2023-08-02,S090,P00449,Furniture,Chairs,7,464.59,0.25,2439.1,1db5f66d-55ca-4f72-a3fb-b4cadcc160f6,Credit Card,"East Emilyside, Latvia",30,Male,Regular,Yes,1,E0413,Online
T0000048,2024-04-01,S082,P00832,Toys,Action Figures,2,505.13,0.29,717.28,8bfd92a8-57b5-410f-b86b-e59f75b131b9,Cash,"Jonesstad, Antarctica (the territory South of 60 deg S)",46,Male,VIP,Yes,4,E0097,Outlet
T0000049,2023-05-11,S051,P00761,Electronics,Tablets,6,35.15,0.21,166.61,ba9be384-2710-4e66-8fd0-e2c493c2395e,Credit Card,"South Cherylside, Sudan",42,Male,Regular,No,3,E0112,Online
T0000050,2022-12-10,S034,P00815,Toys,Action Figures,10,248.45,0.01,2459.66,46137550-e120-4d81-9ecf-249e50abbb97,Online Payment,"Michelleberg, Mongolia",67,Male,Regular,No,5,E0345,Online
T0000051,2024-02-09,S020,P00919,Toys,Board Games,6,522.81,0.04,3011.39,95fb4de7-ca2a-48ac-8f8c-9141947434cc,Online Payment,"Lake Davidshire, Liechtenstein",61,Male,VIP,Yes,5,E0226,Outlet
T0000052,2023-08-22,S041,P00134,Clothing,T-Shirts,1,538.7,0.14,463.28,ac8ba16d-6112-4004-a534-d3573be95fb6,Credit Card,"Jonesstad, Antarctica (the territory South of 60 deg S)",56,Female,VIP,No,1,E0044,Supermarket
T0000053,2023-01-16,S053,P00763,Clothing,Shoes,1,31.33,0.02,30.7,fb6d864b-9910-40e1-8f2b-926a026d7c96,Cash,"North Dustinmouth, British Virgin Islands",67,Male,Regular,No,2,E0053,Online
T0000054,2024-07-15,S093,P00475,Electronics,Laptops,5,839.55,0.15,3568.09,d9e88f95-5f2b-40ca-befd-ca07516b5c11,Credit Card,"North Karenborough, Czech Republic",45,Male,VIP,No,2,E0287,Supermarket
T0000055,2024-04-13,S063,P00262,Furniture,Chairs,5,90.03,0.19,364.62,36b99680-7811-46a8-bf6d-7f8df7c8def5,Cash,"Jonesborough, Isle of Man",69,Female,Regular,No,2,E0459,Outlet
T0000056,2023-03-17,S004,P00442,Groceries,Fruits,9,468.12,0.2,3370.46,cb76716f-8d06-49ea-845f-5522d76b5eac,Online Payment,"New April, Lesotho",28,Male,VIP,Yes,2,E0147,Supermarket
T0000057,2024-07-21,S020,P00031,Toys,Puzzles,5,817.76,0.1,3679.92,5b189cd7-ce21-442b-a41d-8a39b4a086af,Online Payment,"Jonesstad, Antarctica (the territory South of 60 deg S)",54,Female,Regular,No,2,E0449,Supermarket
