Customer_ID,Age,Gender,Annual_Income,Country,Purchase_Date,Number_of_Purchases,Subscription,Favorite_Product_Category,Customer_Satisfaction_Score
CUST_0001,56.0,Female,40771.32176345764,US,2021-03-20,93,False,Clothing,4.0
CUST_0002,69.0,F,55741.9920072618,Canada,2021-02-27,31,True,Automotive,5.0
CUST_0003,46.0,Female,57382.11550904993,France,2023-12-31,47,False,Home & Garden,8.0
CUST_0004,32.0,M,27088.210612483832,United Kingdom,2021-08-14,55,False,Home & Garden,1.0
CUST_0005,60.0,F,52707.38758249321,Germany,2021-10-12,80,True,Electonics,1.0
CUST_0006,25.0,F,66065.62286176263,USA,2021-01-04,62,False,Toys,4.0
CUST_0007,38.0,Female,61467.173529885666,France,2021-04-09,30,True,Clothing,3.0
CUST_0008,56.0,F,33332.54280883854,Canada,2021-02-08,55,True,Sports,10.0
CUST_0009,36.0,M,37060.77317651678,UK,2021-09-28,16,False,Books,2.0
CUST_0010,40.0,M,61858.90984136218,USA,2021-10-12,12,True,Home & Garden,3.0
CUST_0011,28.0,Female,59492.78656074067,United States,2021-06-06,17,False,Home & Garden,1.0
CUST_0012,28.0,Male,,US,2021-03-16,16,True,Sports,1.0
CUST_0013,,Male,13151.102813399084,USA,2021-10-15,12,True,Clothing,6.0
CUST_0014,53.0,M,48852.0190797268,GER,,8,True,Toys,5.0
CUST_0015,57.0,M,41155.20714969252,Germany,2023-12-31,84,False,Home & Garden,8.0
CUST_0016,,F,45525.48165254439,United States,,3,False,Clothing,2.0
CUST_0017,20.0,F,43830.64114010279,GER,2021-01-22,16,True,Sports,4.0
CUST_0018,39.0,M,64760.35316844635,UK,2021-01-27,30,True,Electronics,8.0
CUST_0019,19.0,Male,51553.52126663525,GER,2021-07-14,23,False,Toys,6.0
CUST_0020,41.0,M,54014.540212446875,United Kingdom,2021-12-03,92,False,Books,
CUST_0021,61.0,F,29865.307602350098,GER,2021-08-24,5,True,Home & Garden,4.0
CUST_0022,47.0,F,-461.4328969496637,Canada,2021-04-02,84,True,Clothing,1.0
CUST_0023,55.0,F,66853.12672537274,France,,65,False,Electronics,2.0
CUST_0024,19.0,Male,82148.07782170831,France,2021-10-30,30,False,Books,5.0
CUST_0025,38.0,Male,44861.166976540306,United States,2021-12-23,21,False,Automotive,8.0
CUST_0026,50.0,F,53739.71812432933,UK,2021-03-25,84,False,Clothing,
CUST_0027,29.0,M,54867.77474561833,CAN,2021-09-19,70,False,Clothing,3.0
CUST_0028,39.0,Female,75129.3987450233,United Kingdom,2021-05-27,22,True,Books,4.0
CUST_0029,61.0,Male,63334.7644141573,United States,,82,True,Electronics,10.0
CUST_0030,42.0,F,57440.963498388126,CAN,2021-02-27,72,True,Automotive,6.0
CUST_0031,66.0,M,50833.5823541595,France,2021-01-15,32,True,Sports,10.0
CUST_0032,44.0,F,50903.493822336386,Canada,2021-06-11,33,True,Electronics,3.0
CUST_0033,59.0,F,28408.07605049404,GER,2021-06-12,16,False,Toys,2.0
CUST_0034,,Female,44247.68710707857,United Kingdom,2021-11-16,76,True,Home & Garden,6.0
CUST_0035,33.0,F,63293.02949194063,United States,2021-10-08,1241,True,Books,5.0
CUST_0036,32.0,M,46494.452310289926,USA,2023-12-31,98,True,Sports,10.0
CUST_0037,64.0,F,50665.25836248601,CAN,2021-01-12,14,False,Automotive,5.0
